,Job_Title,Queried_Salary,Job_Type,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
0,Data Scientist,<80000,data_scientist,"['SAP', 'SQL']",Express Scripts,3301.0,3.299999952316284,1.0,More than $10B (USD),10000+,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Python']",Money Mart Financial Services,,,15.0,,,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Data Scientist,<80000,data_scientist,"['Data Mining', 'Data Management', 'R', 'SAS', 'SQL', 'STATA', 'SPSS', 'Data Analysis', 'Python']",comScore,62.0,3.5,1.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Graduate Studies Program - Data Scientist,<80000,data_scientist,['Certified Internal Auditor'],Central Intelligence Agency,158.0,4.300000190734863,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,Data Scientist I,<80000,data_scientist,"['Statistical Software', 'Time Management', 'R', 'Microsoft Office', 'Excel', 'Tableau', 'Data Science']",Federal Reserve Bank of Dallas,495.0,4.099999904632568,30.0,,Less than 10000,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Data Scientist - Entry to Experienced Level,<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Data Mining', 'Machine Learning', 'Analysis Skills', 'CSS']",National Security Agency,173.0,4.300000190734863,30.0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Geospatial Data Scientist,<80000,data_scientist,"['Statistical Software', 'Machine Learning', 'R', 'Image Processing', 'SQL', 'Cloud Computing', 'ArcGIS', 'GIS', 'Python', 'AWS']",NYC Careers,30.0,3.799999952316284,5.0,,,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL']",OM Partners,,,10.0,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,Bioinformatics Data Scientist,<80000,data_scientist,"['Linux', 'R', 'C/C++', 'Python']",University of Idaho,233.0,4.199999809265137,1.0,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9,Data Scientist,<80000,data_scientist,"['JavaScript', 'Data Mining', 'TS/SCI Clearance', 'R', 'C/C++', 'Python']",usajobs.gov,4227.0,4.300000190734863,22.0,,10000+,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",The University of Pittsburgh,541.0,4.199999809265137,1.0,,,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SPSS', 'Data Analysis', 'Statistical Software', 'Data Mining', 'SAS', 'Python']",The University of Pittsburgh,541.0,4.199999809265137,1.0,,,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
12,Data Scientist,<80000,data_scientist,"['Machine Learning', 'Analysis Skills', 'Data Science']",Rice University,150.0,4.300000190734863,30.0,Less than $1B (USD),Less than 10000,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Jr. Data Scientist - Machine Learning,<80000,data_scientist,"['Machine Learning', 'Python']",Elev8 Hire Solutions,,,6.0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Data Scientist,<80000,data_scientist,"['TensorFlow', 'Project Planning', 'Linux', 'Machine Learning', 'C/C++', 'Python', 'Jira']",Catalina Marketing,81.0,3.2000000476837163,30.0,Less than $1B (USD),Less than 10000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
15,Enrollment Data Scientist & Econometrician,<80000,data_scientist,"['Machine Learning', 'R', 'Statisical Analysis', 'SPSS', 'Statistical Software', 'Data Mining', 'Scala', 'Tableau', 'Java', '""Drivers License""', 'Python']",Florida Polytechnic University,16.0,3.9000000953674316,1.0,,Less than 10000,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,Junior Data Scientist,<80000,data_scientist,"['Machine Learning', 'R', 'SQL', 'Analysis Skills', 'Python', 'Data Science']",Achievement Network (ANet),,,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Data Scientist,<80000,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'Machine Learning', 'Visual Basic', 'R', 'SAS', 'SQL', 'Excel', 'Tableau', 'Microsoft Access', 'SPSS', 'Python']",Deloitte,7197.0,4.0,30.0,,10000+,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Data Analytics and Machine Learning Specialist,<80000,data_scientist,['Machine Learning'],ExxonMobil,2234.0,4.0,11.0,More than $10B (USD),10000+,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
19,"Postdoctoral Associate/Data Scientist, Laboratory for Multis...",<80000,data_scientist,"['LMRT', 'Machine Learning']",MIT,278.0,4.199999809265137,5.0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,innovationOchsner (iO) - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",Ochsner Health System,1299.0,3.9000000953674316,30.0,,10000+,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
21,Statistician/Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",Raytheon,3166.0,4.0,30.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,Statistician / Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",Raytheon,3166.0,4.0,30.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,"Environmental Data Scientist, Bureau of Environmental Survei...",<80000,data_scientist,"['Statistical Software', 'SAS', 'SQL', 'Tableau']",NYC Careers,265.0,4.099999904632568,30.0,,,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Environmental Data Manager/Data Scientist (Associate Level),<80000,data_scientist,"['Microsoft SQL Server', 'Data Management', 'Power BI', 'CAD Software', 'SQL', 'Microsoft Access', 'SharePoint', 'ArcGIS']",ERM Group,86.0,3.299999952316284,15.0,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,Sr. Data Scientist - Secret,<80000,data_scientist,"['Data Mining', 'R', 'Python']",Deloitte,7197.0,4.0,30.0,,10000+,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,innovation Ochsner - iO - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",Ochsner Health System,1299.0,3.9000000953674316,30.0,,10000+,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
29,Data Analysis & Machine Learning Postdoctoral Researcher,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Git', 'Python', 'SVN']",Lawrence Livermore National Laboratory,111.0,4.300000190734863,2.0,$1B to $5B (USD),Less than 10000,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,Applied Machine Learning Scientist - Digital Imaging,<80000,data_scientist,"['TensorFlow', 'JavaScript', 'React', 'Data Mining', 'Adobe Photoshop', 'Machine Learning', 'CSS', 'HTML5']",Adobe,484.0,4.300000190734863,30.0,$5B to $10B (USD),10000+,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Machine Learning Scientist,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'R', 'Python', 'C/C++', 'SQL']",Intuitive Surgical,95.0,3.799999952316284,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,Google,2641.0,4.300000190734863,21.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Data Scientist/Sr. Scientific Programmer (Researcher 6),<80000,data_scientist,"['Machine Learning', 'Scripting', 'R', 'Perl', 'SQL', 'MATLAB', 'Python']",University of Minnesota,930.0,4.199999809265137,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
